10;22
11;28
12;28
13;33
14;36
15;37
16;43
17;52
18;54
19;56
20;65
21;66
22;69
23;80
24;77
25;84
26;90
27;93
28;102
29;110
30;122
31;117
32;121
33;123
34;135
35;135
36;143
37;154
38;162
39;154
40;160
41;172
42;187
43;176
44;188
45;190
46;194
47;199
48;211
49;215
50;214
51;217
52;228
53;237
54;243
55;247
56;255
57;265
58;271
59;271
60;277
61;286
62;295
63;304
64;301
65;308
66;312
67;322
68;330
69;323
70;347
71;337
72;354
73;374
74;378
75;368
76;378
77;381
78;397
79;405
80;391
81;409
82;420
83;425
84;433
85;445
86;444
87;455
88;453
89;462
90;480
91;476
92;490
93;492
94;498
95;513
96;498
97;520
98;531
99;539
100;535
101;553
102;562
103;555
104;578
105;582
106;584
107;584
108;598
109;600
110;623
111;620
112;627
113;636
114;636
115;649
116;659
117;672
118;657
119;675
120;669
121;685
122;697
123;701
124;723
125;722
126;722
127;731
128;740
129;761
130;743
131;774
132;772
133;765
134;788
135;805
136;803
137;822
138;798
139;819
140;831
141;829
142;836
143;841
144;865
145;855
146;899
147;903
148;918
149;894
150;895
151;903
152;921
153;919
154;922
155;943
156;943
157;976
158;969
159;948
160;965
161;979
162;983
163;1007
164;1005
165;1005
166;1015
167;1022
168;1015
169;1028
170;1056
171;1053
172;1069
173;1067
174;1073
175;1084
176;1110
177;1096
178;1116
179;1102
180;1132
181;1127
182;1143
183;1147
184;1151
185;1170
186;1165
187;1168
188;1191
189;1203
190;1198
191;1194
192;1236
193;1205
194;1218
195;1248
196;1261
197;1257
198;1280
199;1318
200;1277
201;1288
202;1322
203;1304
204;1296
205;1325
206;1341
207;1369
208;1349
209;1361
210;1370
211;1368
212;1377
213;1409
214;1389
215;1395
216;1408
217;1413
218;1411
219;1455
220;1436
221;1442
222;1446
223;1447
224;1464
225;1467
226;1466
227;1508
228;1493
229;1561
230;1553
231;1520
232;1550
233;1542
234;1512
235;1556
236;1562
237;1576
238;1595
239;1588
